scheme_name,Scheme Codes,expense_ratio,risk_level,returns_1yr,returns_3yr,returns_5yr,Sub_Category,NAV,fund_description,embedding_index
SBI Arbitrage Opportunities Fund,100638,0.36,0.0,5.8,4.5,5.4,Arbitrage Mutual Funds,17.9189,SBI Arbitrage Opportunities Fund - Arbitrage Mutual Funds,477
SBI Banking & Financial Services Fund,100639,0.78,0.5,5.5,22.4,12.5,Sectoral / Thematic Mutual Funds,68.5105,SBI Banking & Financial Services Fund - Sectoral / Thematic Mutual Funds,478
SBI Banking and PSU Fund,100640,0.35,0.2,3.8,6.2,7.0,Banking and PSU Mutual Funds,41.5112,SBI Banking and PSU Fund - Banking and PSU Mutual Funds,479
SBI BlueChip Fund,100641,0.9,0.5,4.2,27.0,11.4,Large Cap Mutual Funds,5825.9928,SBI BlueChip Fund - Large Cap Mutual Funds,480
SBI Conservative Hybrid Fund,100643,0.57,0.4,6.2,13.8,8.8,Conservative Hybrid Mutual Funds,122.2456,SBI Conservative Hybrid Fund - Conservative Hybrid Mutual Funds,481
SBI Consumption Opportunities Fund,100644,1.18,0.5,11.1,31.0,12.7,Sectoral / Thematic Mutual Funds,251.4017,SBI Consumption Opportunities Fund - Sectoral / Thematic Mutual Funds,482
SBI Contra Fund,100645,0.91,0.5,15.0,43.4,15.6,Contra Funds,171.7857,SBI Contra Fund - Contra Funds,483
SBI Credit Risk Fund,100717,0.92,0.4,5.2,7.2,7.0,Credit Risk Funds,0.0,SBI Credit Risk Fund - Credit Risk Funds,484
SBI Dynamic Bond Fund,100915,0.87,0.2,5.9,5.9,7.9,Dynamic Bond,60.3467,SBI Dynamic Bond Fund - Dynamic Bond,485
SBI Equity Hybrid Fund,100917,0.79,0.5,-1.9,18.4,10.8,Aggressive Hybrid Mutual Funds,0.0,SBI Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,486
SBI Equity Savings Fund,100927,0.67,0.3,2.2,14.6,8.1,Equity Savings Mutual Funds,21.0802,SBI Equity Savings Fund - Equity Savings Mutual Funds,487
SBI Flexi Cap Fund,100928,0.85,0.5,-1.0,25.2,11.0,Flexi Cap Funds,19.7927,SBI Flexi Cap Fund - Flexi Cap Funds,488
SBI Focused Equity Fund,100929,0.69,0.5,-4.9,22.0,12.2,Focused Funds,24.207,SBI Focused Equity Fund - Focused Funds,489
SBI Gold Fund,100934,0.1,0.5,14.8,11.9,13.4,FoFs Domestic,0.0,SBI Gold Fund - FoFs Domestic,490
SBI Healthcare Opportunities Fund,100968,1.09,0.5,-1.6,25.7,13.6,Sectoral / Thematic Mutual Funds,68.6262,SBI Healthcare Opportunities Fund - Sectoral / Thematic Mutual Funds,491
SBI Infrastructure Fund,100999,1.88,0.5,12.8,33.5,13.0,Sectoral / Thematic Mutual Funds,19.6821,SBI Infrastructure Fund - Sectoral / Thematic Mutual Funds,492
SBI Large & Midcap Fund,101001,0.99,0.5,6.5,30.2,13.6,Large & Mid Cap Funds,64.0072,SBI Large & Midcap Fund - Large & Mid Cap Funds,493
SBI Liquid Fund,101002,0.18,0.1,5.6,4.3,5.3,Liquid Mutual Funds,61.5466,SBI Liquid Fund - Liquid Mutual Funds,494
SBI Long Term Advantage Fund,101003,1.75,0.3,0.1,43.3,19.5,ELSS Mutual Funds,20.0171,SBI Long Term Advantage Fund - ELSS Mutual Funds,495
SBI Long Term Advantage Fund,101160,1.76,0.3,1.1,36.2,15.4,ELSS Mutual Funds,0.0,SBI Long Term Advantage Fund - ELSS Mutual Funds,496
SBI Long Term Advantage Fund,101169,1.76,0.3,0.5,35.5,14.5,ELSS Mutual Funds,104.4053,SBI Long Term Advantage Fund - ELSS Mutual Funds,497
SBI Long Term Advantage Fund,101206,1.76,0.3,1.0,36.4,14.0,ELSS Mutual Funds,4082.6027,SBI Long Term Advantage Fund - ELSS Mutual Funds,498
SBI Long Term Equity Fund,101295,1.07,0.5,8.7,30.1,11.6,ELSS Mutual Funds,67.6038,SBI Long Term Equity Fund - ELSS Mutual Funds,499
SBI Magnum Children’s Benefit Fund,101530,0.86,0.3,3.1,15.2,8.3,Childrens Funds,249.3265,SBI Magnum Children’s Benefit Fund - Childrens Funds,500
SBI Magnum Comma Fund,101551,2.03,0.5,-12.1,30.9,11.3,Sectoral / Thematic Mutual Funds,57.1279,SBI Magnum Comma Fund - Sectoral / Thematic Mutual Funds,501
SBI Magnum Equity ESG Fund,101929,1.35,0.5,-2.7,24.2,12.2,Sectoral / Thematic Mutual Funds,12.0215,SBI Magnum Equity ESG Fund - Sectoral / Thematic Mutual Funds,502
SBI Magnum Gilt Fund,101932,0.46,0.2,5.7,6.1,8.3,Gilt Mutual Funds,41.0911,SBI Magnum Gilt Fund - Gilt Mutual Funds,503
SBI Magnum Global Fund,101933,1.25,0.5,1.6,24.1,11.5,Sectoral / Thematic Mutual Funds,19.9154,SBI Magnum Global Fund - Sectoral / Thematic Mutual Funds,504
SBI Magnum Income Fund,101934,0.8,0.3,4.8,6.9,7.8,Medium to Long Duration Funds,38.3925,SBI Magnum Income Fund - Medium to Long Duration Funds,505
SBI Magnum Low Duration Fund,101935,0.4,0.2,5.2,5.6,6.4,Low Duration Funds,18.4017,SBI Magnum Low Duration Fund - Low Duration Funds,506
SBI Magnum Medium Duration Fund,101950,0.69,0.3,4.6,7.2,7.9,Medium Duration Funds,19.7755,SBI Magnum Medium Duration Fund - Medium Duration Funds,507
SBI Magnum Midcap Fund,101951,0.97,0.5,6.4,37.0,13.5,Mid Cap Mutual Funds,20.0115,SBI Magnum Midcap Fund - Mid Cap Mutual Funds,508
SBI Magnum Ultra Short Duration Fund,101952,0.31,0.1,5.2,5.1,6.1,Ultra Short Duration Funds,19.4027,SBI Magnum Ultra Short Duration Fund - Ultra Short Duration Funds,509
SBI Multi Asset Allocation Fund,102030,0.88,0.5,5.9,16.1,9.6,Multi Asset Allocation Mutual Funds,10.6671,SBI Multi Asset Allocation Fund - Multi Asset Allocation Mutual Funds,510
SBI Nifty Index Fund,102053,0.18,0.5,0.9,26.0,11.8,Index Funds,49.5601,SBI Nifty Index Fund - Index Funds,511
SBI Overnight Fund,102054,0.1,0.0,5.3,3.9,4.6,Overnight Mutual Funds,19.2109,SBI Overnight Fund - Overnight Mutual Funds,512
SBI PSU Fund,102055,1.42,0.5,16.0,26.3,7.4,Sectoral / Thematic Mutual Funds,12.5326,SBI PSU Fund - Sectoral / Thematic Mutual Funds,513
SBI Savings Fund,102056,0.23,0.2,5.5,5.3,6.2,Money Market Funds,11.1062,SBI Savings Fund - Money Market Funds,514
SBI Short Term Debt Fund,102058,0.35,0.1,4.6,6.4,6.8,Short Duration Funds,10.0325,SBI Short Term Debt Fund - Short Duration Funds,515
SBI Small Cap Fund,102061,0.7,0.5,8.2,38.3,15.3,Small Cap Mutual Funds,21.3407,SBI Small Cap Fund - Small Cap Mutual Funds,516
SBI Tax Advantage Fund,102201,1.76,0.3,1.9,41.1,21.8,ELSS Mutual Funds,11.2279,SBI Tax Advantage Fund - ELSS Mutual Funds,517
SBI Technology Opportunities Fund,102202,0.87,0.5,-8.7,37.1,21.0,Sectoral / Thematic Mutual Funds,10.9215,SBI Technology Opportunities Fund - Sectoral / Thematic Mutual Funds,518
Shriram Hybrid Equity Fund,125711,0.65,0.5,0.7,17.7,8.9,Aggressive Hybrid Mutual Funds,32.514,Shriram Hybrid Equity Fund - Aggressive Hybrid Mutual Funds,519
Sundaram Aggressive Hybrid Fund,100602,0.67,0.4,1.2,21.7,9.7,Aggressive Hybrid Mutual Funds,13.1617,Sundaram Aggressive Hybrid Fund - Aggressive Hybrid Mutual Funds,520
Sundaram Arbitrage Fund,100603,0.28,0.1,5.3,3.3,2.8,Arbitrage Mutual Funds,67.172,Sundaram Arbitrage Fund - Arbitrage Mutual Funds,521
Sundaram Balanced Advantage Fund,100604,0.62,0.3,3.9,11.9,7.2,Dynamic Asset Allocation or Balanced Advantage,22.943,Sundaram Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,522
Sundaram Banking & PSU Debt Fund,100605,0.19,0.1,3.5,5.0,6.1,Banking and PSU Mutual Funds,0.0,Sundaram Banking & PSU Debt Fund - Banking and PSU Mutual Funds,523
Sundaram Consumption Fund,100606,1.46,0.5,7.3,22.5,8.8,Sectoral / Thematic Mutual Funds,0.0,Sundaram Consumption Fund - Sectoral / Thematic Mutual Funds,524
Sundaram Corporate Bond Fund,100607,0.28,0.1,4.5,6.8,7.3,Corporate Bond Mutual Funds,0.0,Sundaram Corporate Bond Fund - Corporate Bond Mutual Funds,525
Sundaram Debt Oriented Hybrid Fund,100608,1.2,0.2,4.1,11.6,6.2,Conservative Hybrid Mutual Funds,75.2476,Sundaram Debt Oriented Hybrid Fund - Conservative Hybrid Mutual Funds,526
Sundaram Diversified Equity – Direct Growth,100609,1.66,0.5,2.2,26.1,8.9,ELSS Mutual Funds,13.6062,Sundaram Diversified Equity – Direct Growth - ELSS Mutual Funds,527
Sundaram Dividend Yield Fund,100610,1.02,0.5,3.2,26.4,11.7,Dividend Yield Funds,13.3464,Sundaram Dividend Yield Fund - Dividend Yield Funds,528
Sundaram Equity Savings Fund,100611,0.54,0.2,3.9,16.8,9.9,Equity Savings Mutual Funds,14.0397,Sundaram Equity Savings Fund - Equity Savings Mutual Funds,529
Sundaram Fin Serv Opportunities – Direct Growth,100612,0.51,0.5,11.4,25.9,12.6,Sectoral / Thematic Mutual Funds,10.7271,Sundaram Fin Serv Opportunities – Direct Growth - Sectoral / Thematic Mutual Funds,530
Sundaram Focused Fund,100613,1.2,0.5,-1.8,24.5,13.1,Focused Funds,119.9317,Sundaram Focused Fund - Focused Funds,531
Sundaram Infrastructure Advantage Fund,100614,1.87,0.5,7.3,32.5,9.1,Sectoral / Thematic Mutual Funds,15.375,Sundaram Infrastructure Advantage Fund - Sectoral / Thematic Mutual Funds,532
Sundaram Large and Mid Cap Fund,100617,0.72,0.5,-1.3,25.4,11.7,Large & Mid Cap Funds,135.1375,Sundaram Large and Mid Cap Fund - Large & Mid Cap Funds,533
Sundaram Liquid Fund,100618,0.17,0.1,5.7,4.2,3.3,Liquid Mutual Funds,41.3007,Sundaram Liquid Fund - Liquid Mutual Funds,534
Sundaram Low Duration Fund,100619,0.33,0.1,5.6,4.9,1.8,Low Duration Funds,12.4716,Sundaram Low Duration Fund - Low Duration Funds,535
Sundaram LT MC Tax Advantage Fund,100620,1.22,0.5,1.4,42.8,9.5,ELSS Mutual Funds,10.0953,Sundaram LT MC Tax Advantage Fund - ELSS Mutual Funds,536
Sundaram LT MC Tax Advantage Fund,100621,1.23,0.5,3.8,44.8,9.8,ELSS Mutual Funds,11.9979,Sundaram LT MC Tax Advantage Fund - ELSS Mutual Funds,537
Sundaram LT MC Tax Advantage Fund,100622,1.26,0.5,3.5,42.3,8.6,ELSS Mutual Funds,11.1363,Sundaram LT MC Tax Advantage Fund - ELSS Mutual Funds,538
Sundaram LT Tax Advantage Fund,100623,1.2,0.5,4.0,29.2,12.5,ELSS Mutual Funds,10.291,Sundaram LT Tax Advantage Fund - ELSS Mutual Funds,539
Sundaram LT Tax Advantage Fund,100780,1.01,0.5,4.4,29.6,11.5,ELSS Mutual Funds,11.4908,Sundaram LT Tax Advantage Fund - ELSS Mutual Funds,540
Sundaram Medium Term Bond Fund,100781,1.11,0.2,2.5,5.0,5.3,Medium Duration Funds,35.6206,Sundaram Medium Term Bond Fund - Medium Duration Funds,541
Sundaram Mid Cap Fund,100782,1.04,0.5,4.3,27.4,8.2,Mid Cap Mutual Funds,10.355,Sundaram Mid Cap Fund - Mid Cap Mutual Funds,542
Sundaram Multi Cap Fund,100783,0.97,0.5,-2.2,28.1,11.0,Multi Cap Funds,12.1035,Sundaram Multi Cap Fund - Multi Cap Funds,543
Sundaram Nifty 100 Equal Weight Fund,100784,0.46,0.5,-3.1,26.2,8.2,Index Funds,41.6285,Sundaram Nifty 100 Equal Weight Fund - Index Funds,544
Sundaram Short Duration Fund,100785,0.28,0.1,4.8,6.4,4.8,Short Duration Funds,16.7156,Sundaram Short Duration Fund - Short Duration Funds,545
Sundaram Small Cap Fund,100786,1.01,0.5,1.6,44.9,9.3,Small Cap Mutual Funds,18.9357,Sundaram Small Cap Fund - Small Cap Mutual Funds,546
Sundaram Tax Savings Fund,100787,1.76,0.5,1.2,27.7,9.9,ELSS Mutual Funds,17.598,Sundaram Tax Savings Fund - ELSS Mutual Funds,547
Sundaram Ultra Short Duration Fund,100788,0.17,0.2,5.7,4.7,4.5,Ultra Short Duration Funds,17.3013,Sundaram Ultra Short Duration Fund - Ultra Short Duration Funds,548
Tata Banking & Financial Services Fund,100414,0.59,0.5,11.9,23.2,12.6,Sectoral / Thematic Mutual Funds,398.0588,Tata Banking & Financial Services Fund - Sectoral / Thematic Mutual Funds,549
Tata Digital India Fund,100415,0.31,0.5,-16.0,39.0,22.1,Sectoral / Thematic Mutual Funds,354.0317,Tata Digital India Fund - Sectoral / Thematic Mutual Funds,550
Tata Equity P/E Fund,100416,0.91,0.5,6.6,27.8,10.0,Value Funds,11.6609,Tata Equity P/E Fund - Value Funds,551
Tata Equity Saving Fund,100417,0.12,0.3,3.4,12.0,7.5,Equity Savings Mutual Funds,15.3414,Tata Equity Saving Fund - Equity Savings Mutual Funds,552
Tata Ethical Fund,100418,0.94,0.5,-1.6,27.9,13.1,Sectoral / Thematic Mutual Funds,66.614,Tata Ethical Fund - Sectoral / Thematic Mutual Funds,553
Tata Gilt Securities Fund,100474,0.9,0.1,5.2,4.8,6.9,Gilt Mutual Funds,92.175,Tata Gilt Securities Fund - Gilt Mutual Funds,554
Tata Hybrid Equity Fund,100475,1.05,0.5,6.2,22.8,10.5,Aggressive Hybrid Mutual Funds,453.2418,Tata Hybrid Equity Fund - Aggressive Hybrid Mutual Funds,555
Tata India Consumer Fund,101000,0.91,0.5,2.8,23.0,10.6,Sectoral / Thematic Mutual Funds,70.1412,Tata India Consumer Fund - Sectoral / Thematic Mutual Funds,556
Tata India Pharma & Healthcare Fund,101042,1.01,0.5,-8.1,21.7,14.8,Sectoral / Thematic Mutual Funds,75.4373,Tata India Pharma & Healthcare Fund - Sectoral / Thematic Mutual Funds,557
Tata India Tax Savings Fund,101049,0.76,0.5,2.2,26.5,12.0,ELSS Mutual Funds,20.9116,Tata India Tax Savings Fund - ELSS Mutual Funds,558
Tata Infrastructure Fund,101186,1.42,0.5,14.0,35.0,13.1,Sectoral / Thematic Mutual Funds,38.6487,Tata Infrastructure Fund - Sectoral / Thematic Mutual Funds,559
Tata Large & Mid Cap Fund,101222,0.89,0.5,8.8,33.5,14.0,Large & Mid Cap Funds,88.0479,Tata Large & Mid Cap Fund - Large & Mid Cap Funds,560
Tata Large Cap Fund,101224,1.24,0.5,1.8,25.7,11.3,Large Cap Mutual Funds,20.1116,Tata Large Cap Fund - Large Cap Mutual Funds,561
Tata Liquid Fund,101419,0.21,0.1,5.6,4.4,5.3,Liquid Mutual Funds,16.075,Tata Liquid Fund - Liquid Mutual Funds,562
Tata Mid Cap Growth Fund,101471,0.98,0.5,1.3,29.2,13.5,Mid Cap Mutual Funds,0.0,Tata Mid Cap Growth Fund - Mid Cap Mutual Funds,563
Tata Money Market Fund,101489,0.17,0.2,5.7,5.6,4.8,Money Market Funds,26.7097,Tata Money Market Fund - Money Market Funds,564
Tata Nifty 50 Index Fund,101490,0.16,0.5,1.0,25.6,12.0,Index Funds,26.7097,Tata Nifty 50 Index Fund - Index Funds,565
Tata Resources & Energy Fund,101491,0.91,0.5,-3.4,34.7,15.5,Sectoral / Thematic Mutual Funds,54.963,Tata Resources & Energy Fund - Sectoral / Thematic Mutual Funds,566
Tata Retirement Savings Fund,101547,0.68,0.5,0.5,19.3,9.4,Retirement Funds,21.0094,Tata Retirement Savings Fund - Retirement Funds,567
Tata Retirement Savings Fund,101548,0.67,0.5,-0.7,33.7,11.3,Retirement Funds,46.5216,Tata Retirement Savings Fund - Retirement Funds,568
Tata Retirement Savings Fund,101605,0.97,0.3,2.1,9.5,7.1,Retirement Funds,13.5481,Tata Retirement Savings Fund - Retirement Funds,569
Tata S&P BSE Sensex Index Fund,101606,0.27,0.5,2.4,25.1,12.8,Index Funds,15.277,Tata S&P BSE Sensex Index Fund - Index Funds,570
Tata Short Term Bond Fund,101609,0.37,0.1,4.7,6.6,5.8,Short Duration Funds,17.0577,Tata Short Term Bond Fund - Short Duration Funds,571
Tata Treasury Advantage Fund,101659,0.3,0.1,5.0,5.6,5.2,Low Duration Funds,139.5375,Tata Treasury Advantage Fund - Low Duration Funds,572
Tata Young Citizens Fund,101672,1.8,0.5,1.5,27.3,10.3,Childrens Funds,310.1554,Tata Young Citizens Fund - Childrens Funds,573
Taurus Banking & Financial Services-Direct Growth,100476,1.66,0.5,9.0,21.9,11.9,Sectoral / Thematic Mutual Funds,204.89,Taurus Banking & Financial Services-Direct Growth - Sectoral / Thematic Mutual Funds,574
Taurus Discovery (Midcap) Fund,100477,2.19,0.5,3.6,26.4,10.9,Mid Cap Mutual Funds,104.57,Taurus Discovery (Midcap) Fund - Mid Cap Mutual Funds,575
Taurus Ethical Fund,100480,1.18,0.5,-3.5,22.3,11.4,Sectoral / Thematic Mutual Funds,169.85,Taurus Ethical Fund - Sectoral / Thematic Mutual Funds,576
Taurus Flexi Cap Fund,101094,2.59,0.5,-4.1,20.2,5.4,Flexi Cap Funds,17.4362,Taurus Flexi Cap Fund - Flexi Cap Funds,577
Taurus Infrastructure Fund,101095,2.02,0.5,-0.7,25.3,8.9,Sectoral / Thematic Mutual Funds,17.8232,Taurus Infrastructure Fund - Sectoral / Thematic Mutual Funds,578
Taurus Largecap Equity Fund,101113,0.44,0.5,-2.5,19.5,7.6,Large Cap Mutual Funds,1496.218,Taurus Largecap Equity Fund - Large Cap Mutual Funds,579
Taurus Nifty 50 Index Fund,101114,0.44,0.5,1.2,25.8,12.3,Index Funds,2773.0696,Taurus Nifty 50 Index Fund - Index Funds,580
Taurus Tax Shield – Direct Growth,101209,1.73,0.5,6.8,24.4,10.6,ELSS Mutual Funds,141.49,Taurus Tax Shield – Direct Growth - ELSS Mutual Funds,581
Templeton India Equity Income Fund,100496,1.3,0.5,8.3,37.7,14.5,Dividend Yield Funds,645.8766,Templeton India Equity Income Fund - Dividend Yield Funds,582
Templeton India Value Fund,100497,0.91,0.5,13.1,39.4,12.3,Value Funds,92.4337,Templeton India Value Fund - Value Funds,583
Union Balanced Advantage Fund,115270,0.94,0.2,3.6,18.3,10.2,Dynamic Asset Allocation or Balanced Advantage,44.81,Union Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,584
Union Dynamic Bond Fund,115290,1.29,0.2,2.6,4.7,6.0,Dynamic Bond,28.3,Union Dynamic Bond Fund - Dynamic Bond,585
Union Flexi Cap Fund,115398,1.06,0.5,0.6,27.7,12.9,Flexi Cap Funds,2457.9962,Union Flexi Cap Fund - Flexi Cap Funds,586
Union Largecap Fund,115399,1.8,0.5,0.1,24.3,9.9,Large Cap Mutual Funds,1002.1174,Union Largecap Fund - Large Cap Mutual Funds,587
Union Liquid Fund,115400,0.07,0.1,5.7,4.4,4.6,Liquid Mutual Funds,1002.1122,Union Liquid Fund - Liquid Mutual Funds,588
Union Long Term Equity Fund,115401,1.62,0.5,2.3,28.5,12.8,ELSS Mutual Funds,1000.7927,Union Long Term Equity Fund - ELSS Mutual Funds,589
Union Small Cap Fund,115402,1.35,0.5,-0.1,37.1,12.8,Small Cap Mutual Funds,1001.3361,Union Small Cap Fund - Small Cap Mutual Funds,590
UTI-Arbitrage Fund,100381,0.34,0.0,5.4,4.7,5.5,Arbitrage Mutual Funds,0.0,UTI-Arbitrage Fund - Arbitrage Mutual Funds,591
UTI-Banking & PSU Debt Fund,100382,0.24,0.2,11.0,7.9,5.6,Banking and PSU Mutual Funds,0.0,UTI-Banking & PSU Debt Fund - Banking and PSU Mutual Funds,592
UTI-Banking and Financial Services Fund,100646,1.39,0.5,8.2,24.4,6.7,Sectoral / Thematic Mutual Funds,39.3482,UTI-Banking and Financial Services Fund - Sectoral / Thematic Mutual Funds,593
UTI-Bond Fund,100648,1.29,0.2,12.0,10.4,4.4,Medium to Long Duration Funds,149.7263,UTI-Bond Fund - Medium to Long Duration Funds,594
UTI-CCF Investment Plan – Direct Growth,100650,1.52,0.5,-3.3,24.1,10.1,Childrens Funds,50.2667,UTI-CCF Investment Plan – Direct Growth - Childrens Funds,595
UTI-Core Equity Fund,100651,1.68,0.5,4.1,30.7,10.2,Large & Mid Cap Funds,248.274,UTI-Core Equity Fund - Large & Mid Cap Funds,596
UTI-Credit Risk Fund,100656,0.81,0.3,5.0,8.3,-0.9,Credit Risk Funds,118.9862,UTI-Credit Risk Fund - Credit Risk Funds,597
UTI-Dividend Yield Fund,100657,1.45,0.5,-1.5,26.8,11.3,Dividend Yield Funds,83.1235,UTI-Dividend Yield Fund - Dividend Yield Funds,598
UTI-Dynamic Bond Fund,100663,0.81,0.2,12.5,11.0,6.3,Dynamic Bond,77.2518,UTI-Dynamic Bond Fund - Dynamic Bond,599
UTI-Flexi Cap Fund,100664,0.9,0.5,-9.0,22.5,12.2,Flexi Cap Funds,158.5775,UTI-Flexi Cap Fund - Flexi Cap Funds,600
UTI-Gilt Fund,100668,0.67,0.2,5.0,5.0,7.3,Gilt Mutual Funds,193.2893,UTI-Gilt Fund - Gilt Mutual Funds,601
UTI-Healthcare Fund,100669,1.47,0.5,-9.0,22.0,12.0,Sectoral / Thematic Mutual Funds,292.3592,UTI-Healthcare Fund - Sectoral / Thematic Mutual Funds,602
UTI-Hybrid Equity Fund,100678,1.34,0.5,5.3,25.8,9.8,Aggressive Hybrid Mutual Funds,37.8112,UTI-Hybrid Equity Fund - Aggressive Hybrid Mutual Funds,603
UTI-India Consumer Fund,100682,1.8,0.5,-0.5,18.0,8.4,Sectoral / Thematic Mutual Funds,46.6281,UTI-India Consumer Fund - Sectoral / Thematic Mutual Funds,604
UTI-Infrastructure Fund,100684,1.92,0.5,12.9,28.0,9.4,Sectoral / Thematic Mutual Funds,370.9778,UTI-Infrastructure Fund - Sectoral / Thematic Mutual Funds,605
UTI-Liquid – Cash Plan – Direct Growth,100685,0.14,0.1,5.7,4.4,5.3,Liquid Mutual Funds,40.4081,UTI-Liquid – Cash Plan – Direct Growth - Liquid Mutual Funds,606
UTI-Long Term Equity Fund,100711,0.95,0.5,-2.9,24.5,10.9,ELSS Mutual Funds,15.56,UTI-Long Term Equity Fund - ELSS Mutual Funds,607
UTI-Mastershare – Direct Growth,100712,0.97,0.5,-2.0,24.2,11.5,Large Cap Mutual Funds,35.58,UTI-Mastershare – Direct Growth - Large Cap Mutual Funds,608
UTI-Medium Term Fund,100723,1.0,0.2,3.7,5.4,4.6,Medium Duration Funds,6934.059,UTI-Medium Term Fund - Medium Duration Funds,609
UTI-Mid Cap Fund,100724,0.99,0.5,0.4,31.1,11.4,Mid Cap Mutual Funds,3741.5017,UTI-Mid Cap Fund - Mid Cap Mutual Funds,610
UTI-MNC Fund,100725,1.24,0.5,3.3,18.1,7.9,Sectoral / Thematic Mutual Funds,2507.6677,UTI-MNC Fund - Sectoral / Thematic Mutual Funds,611
UTI-Money Market Fund,100739,0.2,0.2,5.6,5.3,6.2,Money Market Funds,179.3529,UTI-Money Market Fund - Money Market Funds,612
UTI-Multi Asset Fund,100740,1.04,0.5,4.9,16.5,7.5,Multi Asset Allocation Mutual Funds,347.8631,UTI-Multi Asset Fund - Multi Asset Allocation Mutual Funds,613
UTI-Nifty 50 Index Fund,100741,0.2,0.5,0.9,26.2,12.0,Index Funds,71.0657,UTI-Nifty 50 Index Fund - Index Funds,614
UTI-Overnight Fund,100742,0.07,0.0,5.4,3.9,4.6,Overnight Mutual Funds,18.2522,UTI-Overnight Fund - Overnight Mutual Funds,615
UTI-Regular Savings Fund,100748,1.2,0.3,3.7,13.5,7.2,Conservative Hybrid Mutual Funds,55.7412,UTI-Regular Savings Fund - Conservative Hybrid Mutual Funds,616
UTI-Retirement Benefit Pension Plan – Direct,100749,1.05,0.4,5.2,17.2,7.5,Retirement Funds,55.7412,UTI-Retirement Benefit Pension Plan – Direct - Retirement Funds,617
UTI-Short Term Income Fund,100750,0.33,0.2,5.0,8.5,5.4,Short Duration Funds,26.7177,UTI-Short Term Income Fund - Short Duration Funds,618
UTI-Transportation & Logistics Fund,100751,1.03,0.5,14.1,32.9,5.1,Sectoral / Thematic Mutual Funds,63.7164,UTI-Transportation & Logistics Fund - Sectoral / Thematic Mutual Funds,619
UTI-Treasury Advantage Fund,100800,0.33,0.1,5.2,7.3,4.8,Low Duration Funds,19.59,UTI-Treasury Advantage Fund - Low Duration Funds,620
UTI-Ultra Short Term Fund,100801,0.44,0.2,5.4,6.1,5.7,Ultra Short Duration Funds,25.6,UTI-Ultra Short Term Fund - Ultra Short Duration Funds,621
UTI-Unit Linked Insurance Plan – Direct,100802,0.96,0.3,-0.7,13.1,6.2,Dynamic Asset Allocation or Balanced Advantage,17.12,UTI-Unit Linked Insurance Plan – Direct - Dynamic Asset Allocation or Balanced Advantage,622
UTI-Value Opportunities Fund,100803,1.16,0.5,1.7,27.2,12.2,Value Funds,14.43,UTI-Value Opportunities Fund - Value Funds,623
WhiteOak Capital Overnight Fund,145963,0.22,0.0,1.7,32.4,13.3,Overnight Mutual Funds,1001.0052,WhiteOak Capital Overnight Fund - Overnight Mutual Funds,624
